"Año";"Periodo";"Número de accidentes de avión"
"1942";"Año";"29"
"1943";"Año";"38"
"1944";"Año";"41"
"1945";"Año";"36"
"1946";"Año";"73"
"1947";"Año";"82"
"1948";"Año";"99"
"1949";"Año";"80"
"1950";"Año";"69"
"1951";"Año";"69"
"1952";"Año";"60"
"1953";"Año";"73"
"1954";"Año";"55"
"1955";"Año";"62"
"1956";"Año";"58"
"1957";"Año";"76"
"1958";"Año";"74"
"1959";"Año";"72"
"1960";"Año";"74"
"1961";"Año";"64"
"1962";"Año";"73"
"1963";"Año";"57"
"1964";"Año";"49"
"1965";"Año";"58"
"1966";"Año";"62"
"1967";"Año";"66"
"1968";"Año";"65"
"1969";"Año";"71"
"1970";"Año";"77"
"1971";"Año";"52"
"1972";"Año";"72"
"1973";"Año";"70"
"1974";"Año";"70"
"1975";"Año";"57"
"1976";"Año";"66"
"1977";"Año";"61"
"1978";"Año";"65"
"1979";"Año";"76"
"1980";"Año";"48"
"1981";"Año";"46"
"1982";"Año";"37"
"1983";"Año";"36"
"1984";"Año";"40"
"1985";"Año";"42"
"1986";"Año";"44"
"1987";"Año";"46"
"1988";"Año";"59"
"1989";"Año";"65"
"1990";"Año";"49"
"1991";"Año";"54"
"1992";"Año";"61"
"1993";"Año";"51"
"1994";"Año";"59"
"1995";"Año";"58"
"1996";"Año";"57"
"1997";"Año";"47"
"1998";"Año";"47"
"1999";"Año";"44"
"2000";"Año";"43"
"2001";"Año";"36"
"2002";"Año";"42"
"2003";"Año";"34"
"2004";"Año";"35"
"2005";"Año";"40"
"2006";"Año";"33"
"2007";"Año";"31"
"2008";"Año";"35"
"2009";"Año";"32"
"2010";"Año";"32"
"2011";"Año";"36"
"2012";"Año";"24"
"2013";"Año";"28"
"2014";"Año";"20"
"2015";"Año";"14"
"2016";"Año";"17"
"2017";"Año";"14"
"2018";"Año";"15"
;;
;;
"Métrica":"Número de accidentes de avión"
"Fuente":"Aviation Safety Network"
"Clasificación":""
"Unidad":"Número de accidentes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/numero-accidentes-aereos-1942/c47283f1-76a0-4c51-92af-54fb56bd0bbd"
"Titulo":"Número de accidentes aéreos desde 1942"
"Subtitulo":""
