,año,total_vuelos
0,1970-01-01,57172800.0
1,1971-01-01,57470500.0
2,1972-01-01,48246800.0
3,1973-01-01,59097600.0
4,1974-01-01,64820200.0
5,1975-01-01,65489900.0
6,1976-01-01,68061900.0
7,1977-01-01,69975100.0
8,1978-01-01,71862900.0
9,1979-01-01,75533700.0
10,1980-01-01,76459100.0
11,1981-01-01,74019700.0
12,1982-01-01,75029300.0
13,1983-01-01,78425000.0
14,1984-01-01,83076100.0
15,1985-01-01,86154800.0
16,1986-01-01,90927100.0
17,1987-01-01,94911000.0
18,1988-01-01,99239700.0
19,1989-01-01,100168500.0
20,1990-01-01,104029200.0
21,1991-01-01,102674800.0
22,1992-01-01,110515700.0
23,1993-01-01,122290500.0
24,1994-01-01,130653600.0
25,1995-01-01,135832800.0
26,1996-01-01,142693200.0
27,1997-01-01,147866400.0
28,1998-01-01,148847000.0
29,1999-01-01,156367400.006836
30,2000-01-01,164135881.0
31,2001-01-01,167795208.0
32,2002-01-01,157402946.0
33,2003-01-01,160230000.0
34,2004-01-01,178783176.0
35,2005-01-01,183435509.0
36,2006-01-01,190014842.0
37,2007-01-01,200693390.0
38,2008-01-01,197900702.0
39,2009-01-01,203439289.0
40,2010-01-01,235515057.84102076
41,2011-01-01,245069478.6691089
42,2012-01-01,249375044.11726642
43,2013-01-01,257198301.34168142
44,2014-01-01,266671082.80975398
45,2015-01-01,276907090.0
46,2016-01-01,288973820.0
47,2017-01-01,299001154.798
48,2018-01-01,311014184.6968037
49,2019-01-01,328272156.0581554
50,2020-01-01,172622570.01729998
