,date,Trends
1,2004-01-01,4
2,2004-02-01,4
3,2004-03-01,8
4,2004-04-01,0
5,2004-05-01,3
6,2004-06-01,5
7,2004-07-01,4
8,2004-08-01,3
9,2004-09-01,0
10,2004-10-01,5
11,2004-11-01,1
12,2004-12-01,3
13,2005-01-01,1
14,2005-02-01,4
15,2005-03-01,5
16,2005-04-01,2
17,2005-05-01,5
18,2005-06-01,2
19,2005-07-01,4
20,2005-08-01,28
21,2005-09-01,9
22,2005-10-01,4
23,2005-11-01,2
24,2005-12-01,5
25,2006-01-01,3
26,2006-02-01,2
27,2006-03-01,6
28,2006-04-01,5
29,2006-05-01,3
30,2006-06-01,2
31,2006-07-01,1
32,2006-08-01,6
33,2006-09-01,6
34,2006-10-01,10
35,2006-11-01,5
36,2006-12-01,2
37,2007-01-01,4
38,2007-02-01,4
39,2007-03-01,6
40,2007-04-01,3
41,2007-05-01,4
42,2007-06-01,5
43,2007-07-01,23
44,2007-08-01,6
45,2007-09-01,7
46,2007-10-01,5
47,2007-11-01,4
48,2007-12-01,4
49,2008-01-01,5
50,2008-02-01,22
51,2008-03-01,9
52,2008-04-01,7
53,2008-05-01,12
54,2008-06-01,10
55,2008-07-01,8
56,2008-08-01,97
57,2008-09-01,14
58,2008-10-01,6
59,2008-11-01,17
60,2008-12-01,6
61,2009-01-01,12
62,2009-02-01,9
63,2009-03-01,8
64,2009-04-01,4
65,2009-05-01,5
66,2009-06-01,39
67,2009-07-01,9
68,2009-08-01,7
69,2009-09-01,4
70,2009-10-01,5
71,2009-11-01,4
72,2009-12-01,3
73,2010-01-01,5
74,2010-02-01,4
75,2010-03-01,4
76,2010-04-01,12
77,2010-05-01,11
78,2010-06-01,4
79,2010-07-01,5
80,2010-08-01,12
81,2010-09-01,19
82,2010-10-01,5
83,2010-11-01,18
84,2010-12-01,5
85,2011-01-01,7
86,2011-02-01,9
87,2011-03-01,4
88,2011-04-01,4
89,2011-05-01,12
90,2011-06-01,5
91,2011-07-01,5
92,2011-08-01,5
93,2011-09-01,69
94,2011-10-01,6
95,2011-11-01,8
96,2011-12-01,6
97,2012-01-01,4
98,2012-02-01,4
99,2012-03-01,6
100,2012-04-01,6
101,2012-05-01,5
102,2012-06-01,5
103,2012-07-01,4
104,2012-08-01,4
105,2012-09-01,4
106,2012-10-01,3
107,2012-11-01,5
108,2012-12-01,23
109,2013-01-01,6
110,2013-02-01,4
111,2013-03-01,4
112,2013-04-01,13
113,2013-05-01,10
114,2013-06-01,5
115,2013-07-01,12
116,2013-08-01,4
117,2013-09-01,4
118,2013-10-01,6
119,2013-11-01,6
120,2013-12-01,4
121,2014-01-01,4
122,2014-02-01,4
123,2014-03-01,10
124,2014-04-01,5
125,2014-05-01,5
126,2014-06-01,4
127,2014-07-01,13
128,2014-08-01,6
129,2014-09-01,5
130,2014-10-01,4
131,2014-11-01,4
132,2014-12-01,5
133,2015-01-01,6
134,2015-02-01,10
135,2015-03-01,100
136,2015-04-01,12
137,2015-05-01,11
138,2015-06-01,5
139,2015-07-01,4
140,2015-08-01,7
141,2015-09-01,4
142,2015-10-01,5
143,2015-11-01,6
144,2015-12-01,2
145,2016-01-01,4
146,2016-02-01,5
147,2016-03-01,8
148,2016-04-01,3
149,2016-05-01,5
150,2016-06-01,3
151,2016-07-01,3
152,2016-08-01,4
153,2016-09-01,4
154,2016-10-01,3
155,2016-11-01,82
156,2016-12-01,45
157,2017-01-01,5
158,2017-02-01,4
159,2017-03-01,4
160,2017-04-01,4
161,2017-05-01,6
162,2017-06-01,4
163,2017-07-01,4
164,2017-08-01,5
165,2017-09-01,3
166,2017-10-01,7
167,2017-11-01,4
168,2017-12-01,3
169,2018-01-01,5
170,2018-02-01,5
171,2018-03-01,4
172,2018-04-01,6
173,2018-05-01,32
174,2018-06-01,7
175,2018-07-01,7
176,2018-08-01,9
177,2018-09-01,4
178,2018-10-01,6
179,2018-11-01,4
180,2018-12-01,5
181,2019-01-01,5
182,2019-02-01,4
183,2019-03-01,11
184,2019-04-01,3
185,2019-05-01,7
186,2019-06-01,3
187,2019-07-01,3
188,2019-08-01,8
189,2019-09-01,4
190,2019-10-01,3
191,2019-11-01,3
192,2019-12-01,7
193,2020-01-01,9
194,2020-02-01,5
195,2020-03-01,3
196,2020-04-01,3
197,2020-05-01,5
198,2020-06-01,2
199,2020-07-01,3
200,2020-08-01,3
201,2020-09-01,2
202,2020-10-01,3
203,2020-11-01,3
204,2020-12-01,2
205,2021-01-01,4
206,2021-02-01,5
207,2021-03-01,3
208,2021-04-01,3
209,2021-05-01,3
210,2021-06-01,3
211,2021-07-01,3
212,2021-08-01,3
213,2021-09-01,3
214,2021-10-01,3
215,2021-11-01,4
216,2021-12-01,6
217,2022-01-01,2
218,2022-02-01,3
219,2022-03-01,5
220,2022-04-01,3
221,2022-05-01,3
222,2022-06-01,3
223,2022-07-01,3
224,2022-08-01,3
225,2022-09-01,3
226,2022-10-01,4
227,2022-11-01,4
